# Ascension client Extensions.dll opcode map (build 12344)
# Extracted from opcode name-pointer table @ file-off 0x2C4003 (anchor opcode 0x3B),
# 6-byte entries {u32 name_ptr(VA), u16 0xB8C3}, contiguous 0x1..0x80B.
# Verified vs stock 3.3.5a at 0x3B,0x3D,0x66,0x95,0xC9,0xFE,0x104,0x12A,0x1CC,0x1F4,0x2CD,0x500.

0x03B SMSG_CHAR_ENUM
0x07E SMSG_PARTY_MEMBER_STATS
0x07F SMSG_PARTY_COMMAND_RESULT
0x080 UMSG_UPDATE_GROUP_MEMBERS
0x081 CMSG_GUILD_CREATE
0x082 CMSG_GUILD_INVITE
0x083 SMSG_GUILD_INVITE
0x084 CMSG_GUILD_ACCEPT
0x085 CMSG_GUILD_DECLINE
0x086 SMSG_GUILD_DECLINE
0x087 CMSG_GUILD_INFO
0x088 SMSG_GUILD_INFO
0x089 CMSG_GUILD_ROSTER
0x08A SMSG_GUILD_ROSTER
0x08B CMSG_GUILD_PROMOTE
0x08C CMSG_GUILD_DEMOTE
0x08D CMSG_GUILD_LEAVE
0x08E CMSG_GUILD_REMOVE
0x08F CMSG_GUILD_DISBAND
0x090 CMSG_GUILD_LEADER
0x091 CMSG_GUILD_MOTD
0x092 SMSG_GUILD_EVENT
0x093 SMSG_GUILD_COMMAND_RESULT
0x094 UMSG_UPDATE_GUILD
0x095 CMSG_MESSAGECHAT
0x096 SMSG_MESSAGECHAT
0x097 CMSG_JOIN_CHANNEL
0x098 CMSG_LEAVE_CHANNEL
0x099 SMSG_CHANNEL_NOTIFY
0x09A CMSG_CHANNEL_LIST
0x09B SMSG_CHANNEL_LIST
0x09C CMSG_CHANNEL_PASSWORD
0x09D CMSG_CHANNEL_SET_OWNER
0x09E CMSG_CHANNEL_OWNER
0x09F CMSG_CHANNEL_MODERATOR
0x0A0 CMSG_CHANNEL_UNMODERATOR
0x0A1 CMSG_CHANNEL_MUTE
0x0A2 CMSG_CHANNEL_UNMUTE
0x0A3 CMSG_CHANNEL_INVITE
0x0A4 CMSG_CHANNEL_KICK
0x0A5 CMSG_CHANNEL_BAN
0x0A6 CMSG_CHANNEL_UNBAN
0x0A7 CMSG_CHANNEL_ANNOUNCEMENTS
0x0A8 CMSG_CHANNEL_MODERATE
0x0A9 SMSG_UPDATE_OBJECT
0x0AA SMSG_DESTROY_OBJECT
0x0AB CMSG_USE_ITEM
0x0AC CMSG_OPEN_ITEM
0x0AD CMSG_READ_ITEM
0x0AE SMSG_READ_ITEM_OK
0x0AF SMSG_READ_ITEM_FAILED
0x0B0 SMSG_ITEM_COOLDOWN
0x0B1 CMSG_GAMEOBJ_USE
0x0B2 CMSG_DESTROY_ITEMS
0x0B3 SMSG_GAMEOBJECT_CUSTOM_ANIM
0x0B4 CMSG_AREATRIGGER
0x0B5 MSG_MOVE_START_FORWARD
0x0B6 MSG_MOVE_START_BACKWARD
0x0B7 MSG_MOVE_STOP
0x0B8 MSG_MOVE_START_STRAFE_LEFT
0x0B9 MSG_MOVE_START_STRAFE_RIGHT
0x0BA MSG_MOVE_STOP_STRAFE
0x0BB MSG_MOVE_JUMP
0x0BC MSG_MOVE_START_TURN_LEFT
0x0BD MSG_MOVE_START_TURN_RIGHT
0x0BE MSG_MOVE_STOP_TURN
0x0BF MSG_MOVE_START_PITCH_UP
0x0C0 MSG_MOVE_START_PITCH_DOWN
0x0C1 MSG_MOVE_STOP_PITCH
0x0C2 MSG_MOVE_SET_RUN_MODE
0x0C3 MSG_MOVE_SET_WALK_MODE
0x0C4 MSG_MOVE_TOGGLE_LOGGING
0x0C5 MSG_MOVE_TELEPORT
0x0C6 MSG_MOVE_TELEPORT_CHEAT
0x0C7 MSG_MOVE_TELEPORT_ACK
0x0C8 MSG_MOVE_TOGGLE_FALL_LOGGING
0x0C9 MSG_MOVE_FALL_LAND
0x0CA MSG_MOVE_START_SWIM
0x0CB MSG_MOVE_STOP_SWIM
0x0CC MSG_MOVE_SET_RUN_SPEED_CHEAT
0x0CD MSG_MOVE_SET_RUN_SPEED
0x0CE MSG_MOVE_SET_RUN_BACK_SPEED_CHEAT
0x0CF MSG_MOVE_SET_RUN_BACK_SPEED
0x0D0 MSG_MOVE_SET_WALK_SPEED_CHEAT
0x0D1 MSG_MOVE_SET_WALK_SPEED
0x0D2 MSG_MOVE_SET_SWIM_SPEED_CHEAT
0x0D3 MSG_MOVE_SET_SWIM_SPEED
0x0D4 MSG_MOVE_SET_SWIM_BACK_SPEED_CHEAT
0x0D5 MSG_MOVE_SET_SWIM_BACK_SPEED
0x0D6 MSG_MOVE_SET_ALL_SPEED_CHEAT
0x0D7 MSG_MOVE_SET_TURN_RATE_CHEAT
0x0D8 MSG_MOVE_SET_TURN_RATE
0x0D9 MSG_MOVE_TOGGLE_COLLISION_CHEAT
0x0DA MSG_MOVE_SET_FACING
0x0DB MSG_MOVE_SET_PITCH
0x0DC MSG_MOVE_WORLDPORT_ACK
0x0DD SMSG_MONSTER_MOVE
0x0DE SMSG_MOVE_WATER_WALK
0x0DF SMSG_MOVE_LAND_WALK
0x0E0 CMSG_MOVE_CHARM_PORT_CHEAT
0x0E1 CMSG_MOVE_SET_RAW_POSITION
0x0E2 SMSG_FORCE_RUN_SPEED_CHANGE
0x0E3 CMSG_FORCE_RUN_SPEED_CHANGE_ACK
0x0E4 SMSG_FORCE_RUN_BACK_SPEED_CHANGE
0x0E5 CMSG_FORCE_RUN_BACK_SPEED_CHANGE_ACK
0x0E6 SMSG_FORCE_SWIM_SPEED_CHANGE
0x0E7 CMSG_FORCE_SWIM_SPEED_CHANGE_ACK
0x0E8 SMSG_FORCE_MOVE_ROOT
0x0E9 CMSG_FORCE_MOVE_ROOT_ACK
0x0EA SMSG_FORCE_MOVE_UNROOT
0x0EB CMSG_FORCE_MOVE_UNROOT_ACK
0x0EC MSG_MOVE_ROOT
0x0ED MSG_MOVE_UNROOT
0x0EE MSG_MOVE_HEARTBEAT
0x0EF SMSG_MOVE_KNOCK_BACK
0x0F0 CMSG_MOVE_KNOCK_BACK_ACK
0x0F1 MSG_MOVE_KNOCK_BACK
0x0F2 SMSG_MOVE_FEATHER_FALL
0x0F3 SMSG_MOVE_NORMAL_FALL
0x0F4 SMSG_MOVE_SET_HOVER
0x0F5 SMSG_MOVE_UNSET_HOVER
0x0F6 CMSG_MOVE_HOVER_ACK
0x0F7 MSG_MOVE_HOVER
0x0F8 CMSG_TRIGGER_CINEMATIC_CHEAT
0x0F9 CMSG_OPENING_CINEMATIC
0x0FA SMSG_TRIGGER_CINEMATIC
0x0FB CMSG_NEXT_CINEMATIC_CAMERA
0x0FC CMSG_COMPLETE_CINEMATIC
0x0FD SMSG_TUTORIAL_FLAGS
0x0FE CMSG_TUTORIAL_FLAG
0x0FF CMSG_TUTORIAL_CLEAR
0x100 CMSG_TUTORIAL_RESET
0x101 CMSG_STANDSTATECHANGE
0x102 CMSG_EMOTE
0x103 SMSG_EMOTE
0x104 CMSG_TEXT_EMOTE
0x105 SMSG_TEXT_EMOTE
0x106 CMSG_AUTOEQUIP_GROUND_ITEM
0x107 CMSG_AUTOSTORE_GROUND_ITEM
0x108 CMSG_AUTOSTORE_LOOT_ITEM
0x109 CMSG_STORE_LOOT_IN_SLOT
0x10A CMSG_AUTOEQUIP_ITEM
0x10B CMSG_AUTOSTORE_BAG_ITEM
0x10C CMSG_SWAP_ITEM
0x10D CMSG_SWAP_INV_ITEM
0x10E CMSG_SPLIT_ITEM
0x10F CMSG_AUTOEQUIP_ITEM_SLOT
0x110 CMSG_UNCLAIM_LICENSE
0x111 CMSG_DESTROYITEM
0x112 SMSG_INVENTORY_CHANGE_FAILURE
0x113 SMSG_OPEN_CONTAINER
0x114 CMSG_INSPECT
0x115 SMSG_INSPECT_RESULTS_UPDATE
0x116 CMSG_INITIATE_TRADE
0x117 CMSG_BEGIN_TRADE
0x118 CMSG_BUSY_TRADE
0x119 CMSG_IGNORE_TRADE
0x11A CMSG_ACCEPT_TRADE
0x11B CMSG_UNACCEPT_TRADE
0x11C CMSG_CANCEL_TRADE
0x11D CMSG_SET_TRADE_ITEM
0x11E CMSG_CLEAR_TRADE_ITEM
0x11F CMSG_SET_TRADE_GOLD
0x120 SMSG_TRADE_STATUS
0x121 SMSG_TRADE_STATUS_EXTENDED
0x122 SMSG_INITIALIZE_FACTIONS
0x123 SMSG_SET_FACTION_VISIBLE
0x124 SMSG_SET_FACTION_STANDING
0x125 CMSG_SET_FACTION_ATWAR
0x126 CMSG_SET_FACTION_CHEAT
0x127 SMSG_SET_PROFICIENCY
0x128 CMSG_SET_ACTION_BUTTON
0x129 SMSG_ACTION_BUTTONS
0x12A SMSG_INITIAL_SPELLS
0x12B SMSG_LEARNED_SPELL
0x12C SMSG_SUPERCEDED_SPELL
0x12D CMSG_NEW_SPELL_SLOT
0x12E CMSG_CAST_SPELL
0x12F CMSG_CANCEL_CAST
0x130 SMSG_CAST_FAILED
0x131 SMSG_SPELL_START
0x132 SMSG_SPELL_GO
0x133 SMSG_SPELL_FAILURE
0x134 SMSG_SPELL_COOLDOWN
0x135 SMSG_COOLDOWN_EVENT
0x136 CMSG_CANCEL_AURA
0x137 SMSG_EQUIPMENT_SET_SAVED
0x138 SMSG_PET_CAST_FAILED
0x139 MSG_CHANNEL_START
0x13A MSG_CHANNEL_UPDATE
0x13B CMSG_CANCEL_CHANNELLING
0x13C SMSG_AI_REACTION
0x13D CMSG_SET_SELECTION
0x13E CMSG_DELETEEQUIPMENT_SET
0x13F CMSG_INSTANCE_LOCK_RESPONSE
0x140 CMSG_DEBUG_PASSIVE_AURA
0x141 CMSG_ATTACKSWING
0x142 CMSG_ATTACKSTOP
0x143 SMSG_ATTACKSTART
0x144 SMSG_ATTACKSTOP
0x145 SMSG_ATTACKSWING_NOTINRANGE
0x146 SMSG_ATTACKSWING_BADFACING
0x147 SMSG_INSTANCE_LOCK_WARNING_QUERY
0x148 SMSG_ATTACKSWING_DEADTARGET
0x149 SMSG_ATTACKSWING_CANT_ATTACK
0x14A SMSG_ATTACKERSTATEUPDATE
0x14B SMSG_BATTLEFIELD_PORT_DENIED
0x14C CMSG_PERFORM_ACTION_SET
0x14D SMSG_RESUME_CAST_BAR
0x14E SMSG_CANCEL_COMBAT
0x14F SMSG_SPELLBREAKLOG
0x150 SMSG_SPELLHEALLOG
0x151 SMSG_SPELLENERGIZELOG
0x152 SMSG_BREAK_TARGET
0x153 CMSG_SAVE_PLAYER
0x154 CMSG_SETDEATHBINDPOINT
0x155 SMSG_BINDPOINTUPDATE
0x156 CMSG_GETDEATHBINDZONE
0x157 SMSG_BINDZONEREPLY
0x158 SMSG_PLAYERBOUND
0x159 SMSG_CLIENT_CONTROL_UPDATE
0x15A CMSG_REPOP_REQUEST
0x15B SMSG_RESURRECT_REQUEST
0x15C CMSG_RESURRECT_RESPONSE
0x15D CMSG_LOOT
0x15E CMSG_LOOT_MONEY
0x15F CMSG_LOOT_RELEASE
0x160 SMSG_LOOT_RESPONSE
0x161 SMSG_LOOT_RELEASE_RESPONSE
0x162 SMSG_LOOT_REMOVED
0x163 SMSG_LOOT_MONEY_NOTIFY
0x164 SMSG_LOOT_ITEM_NOTIFY
0x165 SMSG_LOOT_CLEAR_MONEY
0x166 SMSG_ITEM_PUSH_RESULT
0x167 SMSG_DUEL_REQUESTED
0x168 SMSG_DUEL_OUTOFBOUNDS
0x169 SMSG_DUEL_INBOUNDS
0x16A SMSG_DUEL_COMPLETE
0x16B SMSG_DUEL_WINNER
0x16C CMSG_DUEL_ACCEPTED
0x16D CMSG_DUEL_CANCELLED
0x16E SMSG_MOUNTRESULT
0x16F SMSG_DISMOUNTRESULT
0x170 SMSG_REMOVED_FROM_PVP_QUEUE
0x171 CMSG_MOUNTSPECIAL_ANIM
0x172 SMSG_MOUNTSPECIAL_ANIM
0x173 SMSG_PET_TAME_FAILURE
0x174 CMSG_PET_SET_ACTION
0x175 CMSG_PET_ACTION
0x176 CMSG_PET_ABANDON
0x177 CMSG_PET_RENAME
0x178 SMSG_PET_NAME_INVALID
0x179 SMSG_PET_SPELLS
0x17A SMSG_PET_MODE
0x17B CMSG_GOSSIP_HELLO
0x17C CMSG_GOSSIP_SELECT_OPTION
0x17D SMSG_GOSSIP_MESSAGE
0x17E SMSG_GOSSIP_COMPLETE
0x17F CMSG_NPC_TEXT_QUERY
0x180 SMSG_NPC_TEXT_UPDATE
0x181 SMSG_NPC_WONT_TALK
0x182 CMSG_QUESTGIVER_STATUS_QUERY
0x183 SMSG_QUESTGIVER_STATUS
0x184 CMSG_QUESTGIVER_HELLO
0x185 SMSG_QUESTGIVER_QUEST_LIST
0x186 CMSG_QUESTGIVER_QUERY_QUEST
0x187 CMSG_QUESTGIVER_QUEST_AUTOLAUNCH
0x188 SMSG_QUESTGIVER_QUEST_DETAILS
0x189 CMSG_QUESTGIVER_ACCEPT_QUEST
0x18A CMSG_QUESTGIVER_COMPLETE_QUEST
0x18B SMSG_QUESTGIVER_REQUEST_ITEMS
0x18C CMSG_QUESTGIVER_REQUEST_REWARD
0x18D SMSG_QUESTGIVER_OFFER_REWARD
0x18E CMSG_QUESTGIVER_CHOOSE_REWARD
0x18F SMSG_QUESTGIVER_QUEST_INVALID
0x190 CMSG_QUESTGIVER_CANCEL
0x191 SMSG_QUESTGIVER_QUEST_COMPLETE
0x192 SMSG_QUESTGIVER_QUEST_FAILED
0x193 CMSG_QUESTLOG_SWAP_QUEST
0x194 CMSG_QUESTLOG_REMOVE_QUEST
0x195 SMSG_QUESTLOG_FULL
0x196 SMSG_QUESTUPDATE_FAILED
0x197 SMSG_QUESTUPDATE_FAILEDTIMER
0x198 SMSG_QUESTUPDATE_COMPLETE
0x199 SMSG_QUESTUPDATE_ADD_KILL
0x19A SMSG_QUESTUPDATE_ADD_ITEM
0x19B CMSG_QUEST_CONFIRM_ACCEPT
0x19C SMSG_QUEST_CONFIRM_ACCEPT
0x19D CMSG_PUSHQUESTTOPARTY
0x19E CMSG_LIST_INVENTORY
0x19F SMSG_LIST_INVENTORY
0x1A0 CMSG_SELL_ITEM
0x1A1 SMSG_SELL_ITEM
0x1A2 CMSG_BUY_ITEM
0x1A3 CMSG_BUY_ITEM_IN_SLOT
0x1A4 SMSG_BUY_ITEM
0x1A5 SMSG_BUY_FAILED
0x1A6 CMSG_TAXICLEARALLNODES
0x1A7 CMSG_TAXIENABLEALLNODES
0x1A8 CMSG_TAXISHOWNODES
0x1A9 SMSG_SHOWTAXINODES
0x1AA CMSG_TAXINODE_STATUS_QUERY
0x1AB SMSG_TAXINODE_STATUS
0x1AC CMSG_TAXIQUERYAVAILABLENODES
0x1AD CMSG_ACTIVATETAXI
0x1AE SMSG_ACTIVATETAXIREPLY
0x1AF SMSG_NEW_TAXI_PATH
0x1B0 CMSG_TRAINER_LIST
0x1B1 SMSG_TRAINER_LIST
0x1B2 CMSG_TRAINER_BUY_SPELL
0x1B3 SMSG_TRAINER_BUY_SUCCEEDED
0x1B4 SMSG_TRAINER_BUY_FAILED
0x1B5 CMSG_BINDER_ACTIVATE
0x1B6 SMSG_PLAYERBINDERROR
0x1B7 CMSG_BANKER_ACTIVATE
0x1B8 SMSG_SHOW_BANK
0x1B9 CMSG_BUY_BANK_SLOT
0x1BA SMSG_BUY_BANK_SLOT_RESULT
0x1BB CMSG_PETITION_SHOWLIST
0x1BC SMSG_PETITION_SHOWLIST
0x1BD CMSG_PETITION_BUY
0x1BE CMSG_PETITION_SHOW_SIGNATURES
0x1BF SMSG_PETITION_SHOW_SIGNATURES
0x1C0 CMSG_PETITION_SIGN
0x1C1 SMSG_PETITION_SIGN_RESULTS
0x1C2 MSG_PETITION_DECLINE
0x1C3 CMSG_OFFER_PETITION
0x1C4 CMSG_TURN_IN_PETITION
0x1C5 SMSG_TURN_IN_PETITION_RESULTS
0x1C6 CMSG_PETITION_QUERY
0x1C7 SMSG_PETITION_QUERY_RESPONSE
0x1C8 SMSG_FISH_NOT_HOOKED
0x1C9 SMSG_FISH_ESCAPED
0x1CA CMSG_BUG
0x1CB SMSG_NOTIFICATION
0x1CC CMSG_PLAYED_TIME
0x1CD SMSG_PLAYED_TIME
0x1CE CMSG_QUERY_TIME
0x1CF SMSG_QUERY_TIME_RESPONSE
0x1D0 SMSG_LOG_XPGAIN
0x1D1 SMSG_AURACASTLOG
0x1D2 CMSG_RECLAIM_CORPSE
0x1D3 CMSG_WRAP_ITEM
0x1D4 SMSG_LEVELUP_INFO
0x1D5 MSG_MINIMAP_PING
0x1D6 SMSG_RESISTLOG
0x1D7 SMSG_ENCHANTMENTLOG
0x1D8 CMSG_SET_SKILL_CHEAT
0x1D9 SMSG_START_MIRROR_TIMER
0x1DA SMSG_PAUSE_MIRROR_TIMER
0x1DB SMSG_STOP_MIRROR_TIMER
0x1DC CMSG_PING
0x1DD SMSG_PONG
0x1DE SMSG_CLEAR_COOLDOWN
0x1DF SMSG_GAMEOBJECT_PAGETEXT
0x1E0 CMSG_SETSHEATHED
0x1E1 SMSG_COOLDOWN_CHEAT
0x1E2 SMSG_SPELL_DELAYED
0x1E3 CMSG_QUEST_POI_QUERY
0x1E4 SMSG_QUEST_POI_QUERY_RESPONSE
0x1E5 CMSG_GHOST
0x1E6 CMSG_GM_INVIS
0x1E7 SMSG_INVALID_PROMOTION_CODE
0x1E8 MSG_GM_BIND_OTHER
0x1E9 MSG_GM_SUMMON
0x1EA SMSG_ITEM_TIME_UPDATE
0x1EB SMSG_ITEM_ENCHANT_TIME_UPDATE
0x1EC SMSG_AUTH_CHALLENGE
0x1ED CMSG_AUTH_SESSION
0x1EE SMSG_AUTH_RESPONSE
0x1EF MSG_GM_SHOWLABEL
0x1F0 CMSG_PET_CAST_SPELL
0x1F1 MSG_SAVE_GUILD_EMBLEM
0x1F2 MSG_TABARDVENDOR_ACTIVATE
0x1F3 SMSG_PLAY_SPELL_VISUAL
0x1F4 CMSG_ZONEUPDATE
0x1F5 SMSG_PARTYKILLLOG
0x1F6 SMSG_COMPRESSED_UPDATE_OBJECT
0x1F7 SMSG_PLAY_SPELL_IMPACT
0x1F8 SMSG_EXPLORATION_EXPERIENCE
0x1F9 CMSG_GM_SET_SECURITY_GROUP
0x1FA CMSG_GM_NUKE
0x1FB MSG_RANDOM_ROLL
0x1FC SMSG_ENVIRONMENTALDAMAGELOG
0x1FD CMSG_CHANGEPLAYER_DIFFICULTY
0x1FE SMSG_RWHOIS
0x1FF SMSG_LFG_PLAYER_REWARD
0x200 SMSG_LFG_TELEPORT_DENIED
0x201 CMSG_UNLEARN_SKILL
0x202 SMSG_REMOVED_SPELL
0x203 CMSG_DECHARGE
0x204 CMSG_GMTICKET_CREATE
0x205 SMSG_GMTICKET_CREATE
0x206 CMSG_GMTICKET_UPDATETEXT
0x207 SMSG_GMTICKET_UPDATETEXT
0x208 SMSG_ACCOUNT_DATA_TIMES
0x209 CMSG_REQUEST_ACCOUNT_DATA
0x20A CMSG_UPDATE_ACCOUNT_DATA
0x20B SMSG_UPDATE_ACCOUNT_DATA
0x20C SMSG_CLEAR_FAR_SIGHT_IMMEDIATE
0x20D SMSG_CHANGEPLAYER_DIFFICULTY_RESULT
0x20E CMSG_GM_TEACH
0x20F CMSG_GM_CREATE_ITEM_TARGET
0x210 CMSG_GMTICKET_GETTICKET
0x211 SMSG_GMTICKET_GETTICKET
0x212 CMSG_UNLEARN_TALENTS
0x213 SMSG_UPDATE_INSTANCE_ENCOUNTER_UNIT
0x214 SMSG_GAMEOBJECT_DESPAWN_ANIM
0x215 MSG_CORPSE_QUERY
0x216 CMSG_GMTICKET_DELETETICKET
0x217 SMSG_GMTICKET_DELETETICKET
0x218 SMSG_CHAT_WRONG_FACTION
0x219 CMSG_GMTICKET_SYSTEMSTATUS
0x21A SMSG_GMTICKET_SYSTEMSTATUS
0x21B CMSG_SPIRIT_HEALER_ACTIVATE
0x21C CMSG_SET_STAT_CHEAT
0x21D SMSG_QUEST_FORCE_REMOVE
0x21E CMSG_SKILL_BUY_STEP
0x21F CMSG_SKILL_BUY_RANK
0x220 CMSG_XP_CHEAT
0x221 SMSG_SPIRIT_HEALER_CONFIRM
0x222 CMSG_CHARACTER_POINT_CHEAT
0x223 SMSG_GOSSIP_POI
0x224 CMSG_CHAT_IGNORED
0x225 CMSG_GM_VISION
0x226 CMSG_SERVER_COMMAND
0x227 CMSG_GM_SILENCE
0x228 CMSG_GM_REVEALTO
0x229 CMSG_GM_RESURRECT
0x22A CMSG_GM_SUMMONMOB
0x22B CMSG_GM_MOVECORPSE
0x22C CMSG_GM_FREEZE
0x22D CMSG_GM_UBERINVIS
0x22E CMSG_GM_REQUEST_PLAYER_INFO
0x22F SMSG_GM_PLAYER_INFO
0x230 CMSG_GUILD_RANK
0x231 CMSG_GUILD_ADD_RANK
0x232 CMSG_GUILD_DEL_RANK
0x233 CMSG_GUILD_SET_PUBLIC_NOTE
0x234 CMSG_GUILD_SET_OFFICER_NOTE
0x235 SMSG_LOGIN_VERIFY_WORLD
0x236 CMSG_CLEAR_EXPLORATION
0x237 CMSG_SEND_MAIL
0x238 SMSG_SEND_MAIL_RESULT
0x239 CMSG_GET_MAIL_LIST
0x23A SMSG_MAIL_LIST_RESULT
0x23B CMSG_BATTLEFIELD_LIST
0x23C SMSG_BATTLEFIELD_LIST
0x23D CMSG_BATTLEFIELD_JOIN
0x23E SMSG_FORCE_SET_VEHICLE_REC_ID
0x23F CMSG_SET_VEHICLE_REC_ID_ACK
0x240 CMSG_TAXICLEARNODE
0x241 CMSG_TAXIENABLENODE
0x242 CMSG_ITEM_TEXT_QUERY
0x243 SMSG_ITEM_TEXT_QUERY_RESPONSE
0x244 CMSG_MAIL_TAKE_MONEY
0x245 CMSG_MAIL_TAKE_ITEM
0x246 CMSG_MAIL_MARK_AS_READ
0x247 CMSG_MAIL_RETURN_TO_SENDER
0x248 CMSG_MAIL_DELETE
0x249 CMSG_MAIL_CREATE_TEXT_ITEM
0x24A SMSG_SPELLLOGMISS
0x24B SMSG_SPELLLOGEXECUTE
0x24C SMSG_DEBUGAURAPROC
0x24D SMSG_PERIODICAURALOG
0x24E SMSG_SPELLDAMAGESHIELD
0x24F SMSG_SPELLNONMELEEDAMAGELOG
0x250 CMSG_LEARN_TALENT
0x251 SMSG_RESURRECT_FAILED
0x252 CMSG_TOGGLE_PVP
0x253 SMSG_ZONE_UNDER_ATTACK
0x254 MSG_AUCTION_HELLO
0x255 CMSG_AUCTION_SELL_ITEM
0x256 CMSG_AUCTION_REMOVE_ITEM
0x257 CMSG_AUCTION_LIST_ITEMS
0x258 CMSG_AUCTION_LIST_OWNER_ITEMS
0x259 CMSG_AUCTION_PLACE_BID
0x25A SMSG_AUCTION_COMMAND_RESULT
0x25B SMSG_AUCTION_LIST_RESULT
0x25C SMSG_AUCTION_OWNER_LIST_RESULT
0x25D SMSG_AUCTION_BIDDER_NOTIFICATION
0x25E SMSG_AUCTION_OWNER_NOTIFICATION
0x25F SMSG_PROCRESIST
0x260 SMSG_COMBAT_EVENT_FAILED
0x261 SMSG_DISPEL_FAILED
0x262 SMSG_SPELLORDAMAGE_IMMUNE
0x263 CMSG_AUCTION_LIST_BIDDER_ITEMS
0x264 SMSG_AUCTION_BIDDER_LIST_RESULT
0x265 SMSG_SET_FLAT_SPELL_MODIFIER
0x266 SMSG_SET_PCT_SPELL_MODIFIER
0x267 CMSG_SET_AMMO
0x268 SMSG_CORPSE_RECLAIM_DELAY
0x269 CMSG_SET_ACTIVE_MOVER
0x26A CMSG_PET_CANCEL_AURA
0x26B CMSG_PLAYER_AI_CHEAT
0x26C CMSG_CANCEL_AUTO_REPEAT_SPELL
0x26D MSG_GM_ACCOUNT_ONLINE
0x26E MSG_LIST_STABLED_PETS
0x26F CMSG_STABLE_PET
0x270 CMSG_UNSTABLE_PET
0x271 CMSG_BUY_STABLE_SLOT
0x272 SMSG_STABLE_RESULT
0x273 CMSG_STABLE_REVIVE_PET
0x274 CMSG_STABLE_SWAP_PET
0x275 MSG_QUEST_PUSH_RESULT
0x276 SMSG_PLAY_MUSIC
0x277 SMSG_PLAY_OBJECT_SOUND
0x278 CMSG_REQUEST_PET_INFO
0x279 CMSG_FAR_SIGHT
0x27A SMSG_SPELLDISPELLOG
0x27B SMSG_DAMAGE_CALC_LOG
0x27C CMSG_ENABLE_DAMAGE_LOG
0x27D CMSG_GROUP_CHANGE_SUB_GROUP
0x27E CMSG_REQUEST_PARTY_MEMBER_STATS
0x27F CMSG_GROUP_SWAP_SUB_GROUP
